noyes,id,bdb,cle,kbc,og,vuu,gb,xxp,rao,at,mt,lf,zq,zf,ihj,ptj,fq
no,430917,dt,cqy,zl,kc,3.46,0,ndk,e2,urz,0.3,xp,1.5327904,1.40841970631699,0.447206,1.96384899229377,bhe
no,370212,be,fpj,sv,je,3,0,ndk,e2,urz,0.5,rw,1.0581209,1.36153384487713,0.316226,1.66304002349779,bhe
no,128841,cu,cqy,zl,kc,3.61,1,ndk,e2,pxe,1.3,xp,6.9042427,1.34985359130219,0.400004,1.79499495570682,bhe
no,578974,eb,fpj,sv,kc,3.16,0,ndk,e2,urz,0.2,rw,3.3549913,1.4477802059796,0.446991,1.87369679012647,bhe
no,87400,eb,fpj,ld,je,3.32,0,ndk,e2,urz,0.9,rw,4.6176852,1.36673821061022,0.316226,1.70601830043511,bhe
no,343967,cu,fpj,wh,kc,3.46,1,ndk,e2,urz,0,xp,5.0696555,1.32756243302541,0.374171,1.90205001181324,akk
no,181389,xy,cqy,zl,je,3.74,0,ndk,e2,urz,0.9,xp,6.9223314,1.32047792146979,0.374171,1.77551894753527,bhe
yes,326583,xy,cqy,zl,kc,3.61,0,ndk,e2,ghz,0.8,xp,0.7848461,1.40939553773181,0.400004,1.96990286827497,bhe
no,518170,cu,fpj,wh,kc,3.46,0,ptn,e2,pxe,0.5,rw,6.0046653,1.38495818581746,0.374171,1.85826712803932,bhe
no,234579,xy,fpj,wh,kc,3.74,0,ndk,e2,zgp,0.2,rw,9.1391223,1.32078103472952,0.316226,1.8782856159399,akk
no,232132,dt,fpj,zl,je,3.61,0,ndk,e2,urz,0.2,xp,8.353688,1.41808470454201,0.400004,1.94774136597148,bhe
no,321492,dt,fpj,uz,kc,3.61,1,ndk,e2,ghz,0.3,rw,6.7293467,1.39038770783735,0.374171,1.92646180754467,akk
no,436933,cu,fpj,zl,je,3.61,0,ndk,e2,urz,0.3,rw,5.5868086,1.36661320093954,0.316226,1.77361095716443,bhe
no,394529,cu,cqy,wh,je,3.61,0,ndk,e2,ghz,0.6,xp,9.3969108,1.37455885815835,0.316226,1.80384097205251,bhe
no,279161,xy,fpj,wh,kc,3.46,0,ndk,e2,zgp,0.3,xp,11.256923,1.38196681182598,0.447206,2.01896957741457,bhe
yes,532965,xy,fpj,zl,je,3.61,0,ndk,e2,urz,0.8,xp,1.1499486,1.41255863060296,0.489894,2.21187194590986,akk
no,67490,xy,fpj,uz,kc,3,1,ndk,e2,zgp,0,rw,8.1745624,1.4,0.424271,1.97006789019849,akk
no,295207,cu,fpj,sv,kc,3.16,0,ndk,e2,ghz,0.2,rw,7.3109604,1.36153384487713,0.316226,1.67966758023716,bhe
no,494679,dt,fpj,zl,kc,2.24,1,ptn,e2,urz,0.4,xp,8.6162252,1.32404431427847,0.387302,1.68233095944766,bhe
no,387477,cu,afs,wh,kc,3.16,0,ndk,e2,ghz,0.2,xp,10.072948,1.41255863060296,0.489894,1.99499577517534,akk
no,201242,rh,fpj,zl,je,3.61,0,ndk,e2,ghz,0.7,xp,11.069055,1.32481276264143,0.400004,1.87054363904697,bhe
no,209700,rz,fpj,ld,kc,2,0,ndk,e2,ghz,0.9,rw,8.2379947,1.4031210182804,0.399874,1.62438453336009,bhe
no,266732,xy,fpj,uz,je,3.46,0,ndk,e2,pxe,0,rw,6.7587512,1.39038770783735,0.374171,1.88952434738282,akk
no,166385,rh,fpj,sv,kc,3.74,1,ndk,e2,urz,0.6,rw,2.2426069,1.3507076423861,0.316226,1.71987662352789,bhe
no,534110,cu,cqy,zl,kc,3.16,0,ndk,e2,urz,0.3,rw,3.6951473,1.40865292182218,0.387302,1.91941622494241,akk
no,63001,mf,fpj,uz,kc,2.45,0,ndk,e2,urz,0,rw,8.484737,1.40742880178509,0.400004,1.73815583178429,bhe
yes,215084,xy,fpj,wh,kc,3.74,1,ndk,e2,urz,0.5,xp,7.9024233,1.36646188510049,0.424271,2.06936856353516,bhe
yes,389595,xy,fpj,wh,kc,2.65,0,ndk,e2,pxe,0.2,rw,4.4017677,1.34437829779384,0.400004,1.74360099431249,bhe
yes,56659,eb,fpj,sv,kc,3.32,1,ndk,e2,urz,0.8,rw,4.5283105,1.42719071212947,0.400004,1.82710679663767,bhe
no,47355,xy,fpj,sv,kc,0,0,ndk,e2,ghz,0,rw,9.1566359,1.3626278319083,0.315588,1.45697129094005,ntg
no,311691,xy,cqy,wh,kc,3.74,1,ndk,e2,zgp,0.6,xp,5.6227134,1.31032482838965,0.316226,1.8649632349733,bhe
no,574393,cu,fpj,wh,kc,3.46,1,ndk,e2,urz,0.1,xp,5.5081689,1.35986969267166,0.316226,1.71104314796803,bhe
yes,305547,xy,cqy,kd,kc,3.61,1,ndk,e2,zgp,0.9,xp,7.2257028,1.35888471189174,0.447206,2.09011798004751,bhe
no,579557,cu,fpj,sv,kc,1,0,ndk,e2,urz,0.2,rw,0.81273431,1.40619401649356,0.445976,1.59787672770791,akk
yes,379356,eb,cqy,zl,kc,3.32,1,ndk,e2,urz,0.4,xp,5.5985704,1.33015230358822,0.374171,1.79367076688302,bhe
no,360623,eb,fpj,wh,je,3,0,ndk,e2,urz,0,xp,12.211033,1.41291682885743,0.424271,1.8255079578227,bhe
no,18322,dt,fpj,zl,kc,3.61,0,ndk,e2,ghz,0.7,xp,11.90593,1.49496839862071,0.489894,2.18457683609405,akk
no,489722,rz,afs,sv,kc,3,0,ndk,e2,zgp,1,rw,8.9737377,1.38210771151283,0.374171,1.83769794739024,bhe
yes,454803,dt,fpj,uz,kc,3.74,0,ptn,e2,zgp,0.4,ha,8.2533632,1.42308194478187,0.39975,1.85525284307692,ywh
no,557560,xy,fpj,wh,kc,3.16,0,ndk,e2,zgp,0.4,xp,8.0921819,1.34728121567602,0.316226,1.65299289477601,ntg
no,455871,cu,cqy,kd,kc,3.46,0,ndk,e2,ghz,0.3,xp,8.5955154,1.30708611504946,0.316226,1.65995502437461,ntg
no,219640,xy,fpj,zl,je,3.32,0,ndk,e2,zgp,1,xp,9.1369192,1.30033303741242,0.400004,1.75456584860989,bhe
yes,167551,xy,fpj,zl,kc,3.74,1,ndk,e2,urz,0.9,xp,7.9258447,1.33136547146311,0.400004,1.89554950991259,akk
no,136465,be,rmv,uz,je,2.65,0,ndk,e2,ghz,0,rw,10.180214,1.36661320093954,0.374171,1.63792306954164,akk
no,314039,xy,fpj,zl,je,2.24,0,ndk,e2,urz,0,xp,5.1507477,1.39875477868886,0.445425,1.65733369028429,akk
no,334269,eb,fpj,zl,kc,1.73,0,ndk,e2,ghz,0.5,xp,2.0629406,1.39052129203482,0.316071,1.52574756612119,ntg
no,429623,xy,fpj,wh,kc,0,0,ndk,e2,urz,0.2,rw,9.389322,1.34350490190862,0.423799,1.31474790527741,ntg
no,153292,cu,fpj,wh,kc,2.45,1,ndk,e2,urz,0.2,xp,7.1956479,1.43011405958757,0.447206,1.71825958502564,bhe
yes,178816,rz,fpj,sv,kc,3.46,1,ndk,e2,urz,0.8,rw,4.9267424,1.398492469418,0.400004,1.9254996207835,bhe
yes,569867,xy,fpj,wh,kc,3.61,0,ndk,e8,urz,0.2,xp,5.4632691,1.38483881264338,0.316226,1.74623445236125,bhe
no,360216,cu,fpj,zl,kc,2.45,0,ndk,e2,urz,0.6,rw,6.0888149,1.37683703572854,0.316226,1.56951648682748,akk
no,306364,cu,fpj,ld,je,3.32,0,ndk,e2,pxe,0,rw,10.704529,1.36877637165667,0.316226,1.66389405557098,akk
no,528473,xy,cqy,wh,je,2.83,0,ndk,e2,urz,0,xp,10.180521,1.3507076423861,0.316226,1.55275177063638,ntg
no,504125,eb,afs,wh,kc,2.83,0,ndk,e2,urz,0.2,xp,2.0004755,1.29445233005937,0.316226,1.60926011873541,bhe
no,584142,dt,cqy,wh,kc,3.46,0,ndk,e2,zgp,0.4,xp,4.0949794,1.37081670414263,0.400004,1.77758139734245,bhe
yes,293046,be,fpj,wg,kc,3.61,0,ndk,e2,urz,0,rw,10.0548,1.53291987653004,0.547715,2.76977863502084,akk
no,302767,mf,fpj,wh,je,2,0,ptn,e2,urz,0.4,xp,7.1221725,1.37349327571832,0.316071,1.57833868329028,bhe
yes,20297,rz,fpj,wh,kc,3.16,0,ndk,e3,urz,0.2,xp,6.1352023,1.38613111901209,0.400004,1.77102748442692,akk
yes,333462,xy,fpj,sv,kc,3,1,ndk,e8,ghz,0,rw,1.8000737,1.38143671580053,0.374171,1.74559107448484,akk
no,146045,xy,fpj,sv,kc,3.32,1,ndk,e2,zgp,0.3,rw,9.7849566,1.39268400021569,0.374171,1.73553201088897,bhe
no,182902,mf,fpj,zl,kc,2.65,0,ndk,e2,zgp,0.8,xp,7.5162087,1.36138980455676,0.447206,1.75372324966107,bhe
no,179447,cu,fpj,zl,kc,3.32,1,ndk,e2,pxe,0.4,xp,1.5948679,1.34728121567602,0.316226,1.64094624266709,ntg
no,13287,cu,fpj,wh,kc,2.83,1,ndk,e2,urz,0,xp,3.7351288,1.31937007091228,0.316226,1.64000980854579,akk
no,104273,mf,afs,sv,kc,1,0,ndk,e2,urz,0.4,rw,10.996599,1.36742584832425,0.316071,1.51563513997679,ntg
no,365410,xy,fpj,wr,kc,2.65,0,ndk,e2,zgp,0.3,ii,3.1158522,1.35971344057473,0.447206,1.74111943152169,bhe
yes,108715,cu,fpj,zl,kc,3.74,0,ptn,e2,urz,0.8,ii,0.14572217,1.31937007091228,0.400004,1.96051516724876,ywh
yes,563811,dt,fpj,zl,je,3.32,0,ndk,e6,urz,1.4,rw,5.0647173,1.40533485841329,0.424271,1.81821143473793,akk
no,158987,rh,fpj,zl,kc,2.24,0,ndk,e2,urz,0.3,rw,0.63202541,1.38079399637577,0.399874,1.59667539941588,bhe
no,330746,dt,fpj,uz,kc,3.46,0,ndk,e2,zgp,0.2,rw,3.9432943,1.39369256405331,0.400004,1.78635684321196,akk
no,379424,dt,cqy,zl,kc,3.16,0,ndk,e2,ghz,1.6,xp,9.1499901,1.52048382666226,0.447206,1.93611774468841,bhe
no,480612,cu,cqy,uz,je,3.46,0,ndk,e2,urz,0.3,rw,7.7791386,1.35833863709556,0.316226,1.70518976897193,akk
no,447020,cu,cqy,zl,kc,3.61,0,ndk,e2,urz,0.7,xp,3.5777445,1.35833863709556,0.316226,1.71574760924646,bhe
no,374818,rh,fpj,zl,kc,1.73,0,ndk,e2,zgp,0.6,wp,8.3754479,1.32893797458303,0.399874,1.63174006866528,bhe
no,220725,xy,afs,wr,kc,3.16,0,ndk,e2,urz,0.6,xp,11.794582,1.28878929095102,0.316226,1.61024083526635,ntg
yes,252486,cu,fpj,zl,je,3.32,0,ndk,e6,pxe,1.1,ii,0.81133402,1.35986969267166,0.316226,1.69696125819772,bhe
no,476701,rz,cqy,ld,kc,3.16,0,ndk,e2,zgp,0,rw,2.3173948,1.40619401649356,0.447206,1.77502414455374,bhe
no,253441,cu,fpj,wh,je,3.61,1,ndk,e2,ghz,0.1,xp,2.3174225,1.36633978958922,0.400004,1.87092928368551,bhe
no,572038,cu,fpj,zl,kc,2.45,0,ndk,e2,urz,0.3,xp,4.978884,1.39749929124711,0.374171,1.67430533109415,bhe
no,379051,xy,fpj,kd,je,2.45,0,ndk,e2,zgp,0.2,rw,7.8949964,1.36851015521846,0.316071,1.60327632242574,ntg
no,407757,dt,fpj,zl,kc,3.74,0,ndk,e2,ghz,1.1,xp,7.9011018,1.41654014439613,0.424271,2.09996030162405,akk
no,480147,xy,fpj,zl,kc,3.46,1,ndk,e6,zgp,0.2,rw,6.5264566,1.36153384487713,0.316226,1.7313470886735,bhe
no,340571,cu,fpj,zl,kc,3.32,0,ndk,e2,zgp,1.1,rw,2.8918632,1.3850938385195,0.374171,1.77774027631217,bhe
no,222330,xy,fpj,zl,kc,3.16,0,ndk,e2,urz,0.4,xp,5.7278429,1.4141276003792,0.400004,1.8193657661153,akk
no,95971,mf,fpj,sv,kc,3.32,0,ndk,e2,urz,0.2,rw,4.4478439,1.39433059521526,0.316226,1.72193037392831,akk
no,426591,xy,fpj,wh,kc,3.61,0,ndk,e2,ghz,0.1,xp,1.8171812,1.4458745424903,0.316226,1.74607070420078,bhe
no,553105,xy,fpj,zl,kc,3.61,0,ndk,e2,urz,0.3,xp,7.4763733,1.31906730628971,0.374171,1.88312414474076,bhe
yes,440778,dt,fpj,wh,kc,3.74,0,ndk,e8,zgp,0.4,xp,7.5663398,1.36153384487713,0.316226,1.76700692147098,ntg
no,64861,be,fpj,zl,kc,2.83,0,ndk,e2,zgp,0.4,xp,12.583484,1.38262785209842,0.400004,1.67563103696277,bhe
no,408137,cu,afs,sv,kc,2.24,0,ndk,e2,urz,0.6,rw,1.8859796,1.36877637165667,0.316226,1.56306037571544,akk
no,413088,xy,fpj,uz,kc,3.16,0,ndk,e2,zgp,0,rw,1.7179254,1.38143671580053,0.374171,1.74757492292965,akk
no,352815,cu,cqy,wh,kc,3.32,0,ndk,e2,pxe,0.3,xp,2.4930912,1.31447453616524,0.400004,1.80733467438369,akk
no,356299,dt,fpj,zl,je,3.61,0,ndk,e2,urz,0.1,xp,2.3623618,1.33075419135778,0.374171,1.86345861647379,akk
no,458764,xy,fpj,wh,kc,3.61,0,ndk,e3,zgp,0.7,xp,7.7028592,1.34205176086935,0.374171,1.86111796161281,akk
yes,568509,cu,fpj,zl,kc,3.46,1,ndk,e2,pxe,0.8,xp,5.8494409,1.44406792545186,0.447206,2.30787660881884,akk
yes,158765,xy,fpj,kd,kc,3.74,0,ndk,e8,urz,0.3,xp,6.8165452,1.324197636054,0.400004,1.92063803972031,bhe
no,67121,dt,afs,sv,kc,3.61,0,ndk,e2,urz,1.1,rw,10.469673,1.37933907956008,0.374171,1.92734147286661,akk
no,467168,cu,fpj,wh,kc,3.32,0,ndk,e2,urz,0.2,xp,4.0878337,1.38495818581746,0.374171,1.77465439698683,bhe
no,319356,dt,fpj,sv,kc,3.16,0,ndk,e2,zgp,0.2,rw,9.4542597,1.36661320093954,0.374171,1.67633301886173,akk
no,170048,be,afs,sv,je,2.45,0,ndk,e2,ghz,0.7,rw,9.7370979,1.39585019444349,0.424271,1.78550590925701,akk
no,577117,cu,fpj,sv,je,3.16,0,ndk,e2,zgp,0.2,rw,1.4272337,1.38143671580053,0.374171,1.7594907854099,akk
no,566864,xy,fpj,wh,kc,3.61,0,ndk,e2,zgp,0.2,xp,0.025243325,1.3507076423861,0.316226,1.6805684196276,ntg
no,1403,be,afs,sv,kc,3.16,0,ndk,e2,ghz,1,rw,2.8127559,1.38483881264338,0.400004,1.78712767814593,bhe
no,120873,xy,cqy,kd,kc,1.73,0,ndk,e2,ghz,0.3,xp,9.0009474,1.30414004498471,0.316071,1.5577968636019,bhe
no,317446,xy,fpj,uz,kc,3.74,0,ndk,e2,urz,0.6,rw,8.4822344,1.35986969267166,0.316226,1.77904640011038,akk
yes,419724,rh,cqy,zl,kc,3.16,0,ptn,e2,ghz,0.2,xp,1.5666443,1.38483881264338,0.400004,1.80192009219174,bhe
yes,414224,xy,fpj,uz,kc,3.61,1,ndk,e2,urz,1,rw,5.4186537,1.4444063920213,0.447206,2.46647578751994,akk
yes,76137,dt,fpj,sv,kc,3.16,0,ndk,e6,zgp,0.2,xp,6.4778985,1.39102228181829,0.400004,1.78416097211705,bhe
no,429320,cu,fpj,wh,je,2,0,ndk,e2,urz,0.6,xp,5.2860105,1.35426752302023,0.42356,1.6736598906506,bhe
yes,437619,xy,fpj,wh,kc,3,0,ptn,e2,zgp,0,xp,7.9638702,1.30166454395918,0.316226,1.64439483224363,bhe
no,90735,xy,fpj,wh,kc,3.46,0,ndk,e2,urz,0.2,xp,9.6179139,1.35971344057473,0.400004,1.98575411805739,bhe
no,337525,eb,cqy,wh,kc,1.73,0,ndk,e2,ghz,0.4,xp,7.1509934,1.33075419135778,0.316226,1.52377981621342,ntg
no,278854,mf,fpj,zl,kc,3.46,0,ndk,e2,ghz,0.3,xp,7.5853891,1.39038770783735,0.374171,1.84540080243537,akk
no,157704,xy,afs,zl,je,3.74,0,ptn,e2,ghz,0.3,rw,6.7739759,1.32665624949263,0.374171,1.96032078806194,bhe
yes,182429,dt,fpj,zl,kc,3.32,0,ndk,e6,zgp,1.2,rw,7.4824446,1.38143671580053,0.374171,1.74828594925206,akk
yes,52597,dt,cqy,zl,je,3.74,1,ndk,e2,urz,0,xp,1.1437869,1.36014125005774,0.447206,2.25362747416746,bhe
no,476721,dt,afs,zl,kc,3.74,0,ndk,e2,urz,0.5,xp,12.613621,1.37643568262999,0.400004,2.42516947625814,bhe
no,444213,cu,cqy,sv,je,3.32,0,ndk,e2,urz,0.9,rw,4.2404488,1.35833863709556,0.316226,1.66882860238487,ntg
no,41440,xy,fpj,zl,kc,3.46,1,ndk,e2,zgp,0,xp,9.3741686,1.32877644280939,0.400004,1.8359910659489,bhe
no,504184,cu,afs,zl,kc,0,0,ndk,e2,urz,0.3,xp,0.98289305,1.36125183038796,0.315278,1.43853816261485,bhe
no,300293,cu,fpj,wh,kc,3.46,0,ndk,e2,ghz,0.2,rw,2.6230067,1.36592985835134,0.424271,2.06445735253123,akk
yes,582025,cu,fpj,zl,kc,3.16,0,ndk,e2,zgp,1.6,ii,5.7951463,1.49758705882656,0.447206,2.0143067201864,bhe
no,540883,xy,fpj,kd,kc,3.61,0,ndk,e2,zgp,0,xp,8.6909435,1.31032482838965,0.316226,1.8023664207016,bhe
no,9527,mf,fpj,ld,kc,3.32,0,ndk,e2,zgp,0.4,rw,9.8360289,1.38601223627056,0.374171,1.79298734889838,bhe
no,37728,xy,fpj,sv,kc,2.65,0,ndk,e2,ghz,0.7,rw,1.5463664,1.35833863709556,0.316226,1.57320825970484,ntg
yes,500115,be,fpj,zl,je,3.16,1,ndk,e5,urz,0.9,xp,5.6197606,1.37256434441971,0.447206,1.99768867496022,akk
no,392421,xy,cqy,wh,kc,0,0,ndk,e2,zgp,0.3,xp,6.388943,1.3626278319083,0.315588,1.40097320851776,ntg
no,147754,xy,fpj,zl,je,3.61,0,ndk,e2,ghz,0,xp,5.932006,1.3507076423861,0.387302,1.92191918061037,akk
no,418476,xy,fpj,uz,kc,3.74,1,ndk,e2,urz,0.1,rw,8.2162379,1.37947668203965,0.374171,1.99285291333018,akk
no,231004,dt,fpj,uz,je,2.83,0,ptn,e2,ghz,0.8,rw,8.1546556,1.45277154738116,0.446991,1.8816169863022,bhe
no,66193,xy,fpj,ld,kc,2.83,0,ndk,e2,zgp,0.5,rw,5.549685,1.41291682885743,0.424271,1.74812326150185,bhe
no,63955,dt,fpj,zl,kc,2.83,0,ndk,e2,zgp,0.8,xp,1.8471431,1.4141276003792,0.400004,1.740323558961,akk
no,438704,rz,fpj,fv,kc,0,0,ndk,e2,ghz,0.2,rw,4.2147997,1.39749929124711,0.399369,1.55540552860241,akk
no,371979,xy,cqy,wh,kc,2.83,0,ndk,e2,urz,0.2,xp,1.1808517,1.36153384487713,0.316226,1.61307662838298,bhe
yes,459427,cu,fpj,ld,kc,0,0,ndk,e2,ghz,0.3,rw,9.6560056,1.39585019444349,0.424271,1.572564391193,akk
no,312336,cu,fpj,wh,kc,3,0,ndk,e2,urz,0.3,xp,5.4125612,1.36877637165667,0.316226,1.61332049892319,akk
no,525168,xy,fpj,kd,kc,3.32,0,ndk,e2,urz,0,xp,2.941527,1.31032482838965,0.316226,1.74625993255697,bhe
no,443126,xy,cqy,wh,je,1,0,ndk,e2,urz,0,xp,3.1284601,1.36399590727583,0.316071,1.50576828105096,bhe
no,470250,xy,fpj,wh,kc,3.16,0,ndk,e2,urz,0.2,xp,7.2511309,1.35833863709556,0.316226,1.64911811376608,bhe
no,355006,xy,fpj,sv,kc,3,0,ptn,e2,urz,0.4,rw,1.5405435,1.40619401649356,0.447206,1.74778105784134,bhe
no,333448,xy,fpj,zl,kc,3.74,0,ndk,e2,zgp,0.4,xp,5.7040113,1.32924142965554,0.316226,1.75492049117147,bhe
no,311506,cu,fpj,sv,kc,3.46,1,ptn,e2,ghz,0,rw,6.6430742,1.35986969267166,0.374171,1.7626662139466,akk
no,242755,dt,fpj,zl,kc,3.32,0,ndk,e2,urz,0.2,xp,5.0807613,1.42836409371681,0.489894,2.19437084674741,bhe
no,443246,eb,cqy,zl,kc,1.73,0,ndk,e2,zgp,0.8,xp,8.6794021,1.4031210182804,0.423669,1.63811859582194,bhe
no,356654,dt,fpj,wh,je,2.24,0,ptn,e2,ghz,0.5,wp,7.0278807,1.39369256405331,0.400004,1.62521943989536,akk
no,15794,xy,fpj,uz,kc,3.61,0,ndk,e2,zgp,0,rw,1.6868656,1.38741944386014,0.374171,1.82859686788811,akk
no,572151,cu,fpj,zl,kc,2.83,0,ndk,e2,zgp,0.3,ii,2.8833031,1.41808470454201,0.400004,1.74020259797424,bhe
no,409540,xy,fpj,sv,kc,3.61,0,ndk,e2,pxe,0.2,rw,2.9803286,1.37933907956008,0.374171,1.87287669211993,akk
no,23324,xy,fpj,uz,kc,3.61,0,ndk,e2,zgp,0,rw,3.3452018,1.42308194478187,0.400004,1.98270684906579,ywh
no,135823,cu,cqy,sv,kc,3.61,0,ndk,e2,urz,0.4,xp,9.0960391,1.37012773905114,0.316226,1.7555242799709,bhe
no,323912,xy,fpj,kd,je,2.45,0,ndk,e2,zgp,0.4,rw,3.0128478,1.36877637165667,0.399874,1.66629231329679,bhe
yes,408544,rh,fpj,mo,kc,3.32,0,ndk,e2,urz,0.5,ii,1.3352415,1.36877637165667,0.316226,1.7003166167014,akk
no,259425,mf,cqy,uz,kc,3.46,0,ndk,e2,ghz,1,rw,6.5812186,1.37482593894352,0.316226,1.66591864173254,ntg
yes,229956,eb,fpj,zl,kc,2,0,ndk,e2,urz,0.7,ii,10.907579,1.398492469418,0.423799,1.62750947725717,bhe
no,535279,mf,fpj,wh,kc,3,0,ndk,e2,urz,0.2,xp,6.0189907,1.43069731423781,0.447206,1.87502424679103,akk
no,20765,rh,fpj,wh,kc,3,0,ndk,e2,zgp,0,xp,3.8489567,1.36877637165667,0.316226,1.61501904596935,akk
no,129842,eb,fpj,zl,kc,3.74,0,ndk,e2,ghz,0.8,xp,0.37030906,1.28810031388269,0.424271,2.03094990363055,akk
yes,138908,xy,cqy,zl,kc,2.65,0,ptn,e1,urz,0.5,xp,4.6167429,1.3185857685098,0.316226,1.63906342844516,bhe
no,470279,xy,cqy,wg,kc,3.32,1,ndk,e2,zgp,0,rw,5.2661371,1.39749929124711,0.400004,1.8336463748804,bhe
no,118212,cu,cqy,wh,je,2.24,0,ptn,e2,urz,0.6,xp,2.5662671,1.31623125270548,0.316071,1.51419809038439,bhe
yes,236883,eb,fpj,zl,je,3.61,0,ndk,e8,urz,0.2,xp,0.62891582,1.41654014439613,0.424271,2.15071652347371,akk
no,503953,xy,fpj,kd,je,3.46,0,ndk,e2,zgp,0,xp,4.1436425,1.30083230545165,0.374171,1.73293889203695,akk
yes,219877,xy,fpj,zl,kc,3.74,0,ndk,e2,urz,0.3,xp,3.3223167,1.33136547146311,0.400004,1.91303577636907,akk
yes,460425,xy,fpj,zl,kc,3.46,0,ndk,e2,urz,0.6,ii,7.2819712,1.3730970169223,0.400004,2.07805036280003,bhe
yes,136864,cu,cqy,zl,kc,3.74,1,ndk,e1,urz,1.8,ii,10.504883,1.3626278319083,0.400004,2.3991069403378,bhe
no,487705,cu,cqy,kd,kc,3.16,0,ndk,e2,ghz,0.1,ii,5.1101537,1.41893084879168,0.424271,1.88659101842325,ywh
